user	date	lon	lat	geoprivacy
Benoît Prieur	2012-03-02	5.02	45.81683333	open
Benoît Prieur	2012-03-02	5.01933333	45.81833333	open
Benoît Prieur	2012-03-02	5.01933333	45.81833333	open
Benoît Prieur	2012-03-02	5.02	45.817	open
Benoît Prieur	2012-03-02	5.02	45.817	open
Benoît Prieur	2012-03-02	5.02	45.817	open
Benoît Prieur	2012-03-02	5.022	45.81466667	open
Benoît Prieur	2012-03-02	5.02183333	45.8145	open
Benoît Prieur	2012-03-02	5.022	45.81416667	open
Benoît Prieur	2012-03-02	5.0225	45.81133333	open
Benoît Prieur	2012-03-02	5.02183333	45.81433333	open
Benoît Prieur	2012-03-02	5.0225	45.81133333	open
Benoît Prieur	2012-03-02	5.0275	45.81166667	open
Benoît Prieur	2012-03-02	5.027	45.815	open
Benoît Prieur	2012-03-02	5.027	45.815	open
Benoît Prieur	2012-03-02	5.0275	45.81166667	open
Benoît Prieur	2012-03-02	5.01583333	45.82316667	open
Benoît Prieur	2012-03-02	5.028	45.81716667	open
Benoît Prieur	2012-03-03	5.2125	45.81716667	open
Benoît Prieur	2012-03-03	5.21216667	45.81733333	open
Benoît Prieur	2012-03-03	5.21216667	45.81733333	open
Benoît Prieur	2012-03-03	5.21183333	45.81766667	open
Benoît Prieur	2012-03-03	5.21116667	45.81783333	open
Benoît Prieur	2012-03-03	5.21133333	45.81783333	open
Benoît Prieur	2012-03-03	5.21233333	45.8175	open
Benoît Prieur	2012-03-03	5.21233333	45.8175	open
Benoît Prieur	2012-03-03	5.2105	45.818	open
Benoît Prieur	2012-03-03	4.98116667	45.828	open
Benoît Prieur	2012-03-03	5.12466667	45.8305	open
Benoît Prieur	2012-03-03	4.98066667	45.834	open
Benoît Prieur	2012-03-05	4.995	45.83833333	open
Benoît Prieur	2012-03-05	5.00166667	45.83983333	open
Benoît Prieur	2012-03-05	4.99516667	45.83783333	open
Benoît Prieur	2012-03-05	4.99516667	45.83783333	open
Benoît Prieur	2012-03-06	5.007	45.83383333	open
Benoît Prieur	2012-03-06	4.94533333	45.82566667	open
Benoît Prieur	2012-03-06	4.94566667	45.82566667	open
Benoît Prieur	2012-03-06	5.022	45.8135	open
Benoît Prieur	2012-03-06	5.03266667	45.814	open
Benoît Prieur	2012-03-06	4.96683333	45.82966667	open
Benoît Prieur	2012-03-06	4.966	45.829	open
Benoît Prieur	2012-03-06	4.95483333	45.82516667	open
Benoît Prieur	2012-03-06	4.95316667	45.827	open
Benoît Prieur	2012-03-06	4.9835	45.83466667	open
Benoît Prieur	2012-03-06	4.95516667	45.825	open
Benoît Prieur	2012-03-06	4.93216667	45.81516667	open
Benoît Prieur	2012-03-07	4.999	45.82966667	open
Benoît Prieur	2012-03-06	4.93233333	45.81516667	open
Benoît Prieur	2012-03-07	4.999	45.82966667	open
Benoît Prieur	2012-03-07	4.99783333	45.831	open
Benoît Prieur	2012-03-07	5.00116667	45.83133333	open
Benoît Prieur	2012-03-08	5.071	45.85116667	open
Benoît Prieur	2012-03-08	5.07566667	45.85116667	open
